fecha,kilowatHora,temperatura,precipitacion,humedad
5/7/2019,486.747449,16.142,0.0763,86
5/8/2019,493.838059,15.121,0.0109,86
5/9/2019,493.645185,14.154,0.0001,86
5/10/2019,493.162331,14.583,0.0519,90
5/11/2019,490.226309,14.338,0.0163,90
5/12/2019,489.648789,14.996,0.0001,90
5/13/2019,486.998413,14.723,0.0078,68
5/14/2019,493.909406,14.863,0.0037,68
5/15/2019,493.322797,14.909,0.0026,66
5/16/2019,488.848875,13.7,0,64
5/17/2019,492.062982,14.233,0.0927,64
5/18/2019,486.453601,13.285,0.0142,79
5/19/2019,489.779105,15.072,0.0992,94
5/20/2019,486.669545,15.181,0.0381,96
5/21/2019,493.357542,14.775,0.0682,95
5/22/2019,494.266445,15.317,0.003,94
5/23/2019,491.826622,13.696,0.0035,96
5/24/2019,488.55965,14.071,0.1023,95
5/25/2019,489.377143,13.558,0.1083,96
5/26/2019,494.003997,13.8,0.0902,96
5/27/2019,494.781279,13.833,0,96
5/28/2019,492.563533,14.008,0,99
5/29/2019,485.599377,14.317,0.0017,99
5/30/2019,492.917775,13.83,0.0017,99
5/31/2019,488.87,14.283,0.0088,96
6/1/2019,591.624745,13.338,0.024,96
6/2/2019,588.863151,14.775,0,96
6/3/2019,586.675128,14.467,0.0019,90
6/4/2019,591.468744,14.904,0.0816,86
6/5/2019,587.849178,15.5,0.0101,83
6/6/2019,591.462655,14,0.007,79
6/7/2019,593.992412,14.204,0.04,77
6/8/2019,593.795072,14.508,0.0068,75
6/9/2019,588.789206,15.018,0.0012,72
6/10/2019,586.189111,14.108,0,72
6/11/2019,588.242155,14.871,0,85
6/12/2019,590.119559,14.413,0,80
6/13/2019,593.966505,14.478,0,88
6/14/2019,591.714002,14.643,0.0078,87
6/15/2019,586.831927,15.352,0.0091,93
6/16/2019,594.433339,15.071,0.0074,94
6/17/2019,591.186806,15.533,0,94
6/18/2019,586.193635,15,0.0549,95
6/19/2019,593.023723,14.896,0.0913,94
6/20/2019,592.782963,14.592,0.0006,94
6/21/2019,585.653173,13.996,0,95
6/22/2019,588.190513,14.279,0.0151,95
6/23/2019,590.443152,14.392,0.0424,95
6/24/2019,590.270998,13.146,0.0362,96
6/25/2019,587.902994,13.9,0.0417,95
6/26/2019,587.357726,15.496,0.0144,95
6/27/2019,590.700991,14.758,0,95
6/28/2019,590.397268,14.179,0,95
6/29/2019,594.740452,13.391,0.0013,82
6/30/2019,593.954575,13.981,0,68
7/1/2019,617.042071,13.167,0.015,65
7/2/2019,624.033175,13.595,0,54
7/3/2019,621.004231,15.006,0,52
7/4/2019,623.203025,14.95,0.0085,46
7/5/2019,624.393459,13.7,0.0154,55
7/6/2019,615.441245,14.208,0.001,69
7/7/2019,619.883148,14.879,0.0187,76
7/8/2019,622.133778,13.938,0.0246,84
7/9/2019,619.435187,13.858,0,84
7/10/2019,624.429107,14.071,0.0018,72
7/11/2019,623.491261,14.104,0,79
7/12/2019,621.824485,15.1,0.0004,80
7/13/2019,617.901694,14.508,0.0685,82
7/14/2019,619.272412,14.333,0.0235,83
7/15/2019,624.747199,13.683,0.0001,77
7/16/2019,618.757573,12.717,0.0265,70
7/17/2019,620.45193,13.642,0.0102,76
7/18/2019,616.226138,14.896,0,76
7/19/2019,624.380719,14.129,0,77
7/20/2019,617.842592,14.229,0.0007,77
7/21/2019,624.581774,14.446,0,78
